description,category
Pizza from resturant,Food
Burger and fries,Food
Grocery shopping,Food
Coffee at cafe,Food
Uber ride,Travel
Bus ticket,Travel
Train ticket,Travel
Flight booking,Travel
New shoes,Shopping
Bought a shirt,Shopping
Mobile recharge,Bills
Electricity bill,Bills
Internet bill,Bills
College books ,Education
Movie ticket,Entertainment
Netflix subscription,Entertainment
Cpncert ticket,Entertainment
Resturant dinner,Food
Pizza delivery,Food
Bought vegetables,Food
Lunch at cafe,Food
Coffee shop,Food
Bus fare,Travel
Auto ride,Travel
Cab to college,Travel
Train journey,Travel
Flight ticket,Travel
New jeans,Shopping
Bought headphones,Shopping
Online shopping,Shopping
New backpack,Shopping
Bought shoes,Shopping
Electricity payment,Bills
Mobile recharge,Bills
Water bill,Bills
Gas bill,Bills
College textbook,Education
Online coding course,Education
Exam fees,Education
Study material,Education
Programming book,Education
Movie ticket,Entertainment
Netflix subscription,Entertainment
Concert ticket,Entertainment
Gaming subscription,Entertainment
Music subscription,Entertainment

